Team,Year,Week,Rating,Prev_Rating,Opponent,Score
ARI,1987,12,-3.673714198,-3.673158726,WAS,-9.515012504
ARI,1987,13,-4.063134085,-4.062489614,NYG,-0.616263633
ARI,1987,14,-3.847704682,-3.846976994,TBB,5.054559739
ARI,1987,15,-3.324042069,-3.32322948,DAL,-2.627394073
ARI,1987,16,-3.285339403,-3.284455431,,
ARI,1987,17,-3.285339403,-3.284455431,,
ARI,1987,18,-3.285339403,-3.284455431,,
ARI,1987,19,-3.285339403,-3.284455431,,
ARI,1987,20,-3.285339403,-3.284455431,,
ARI,1987,21,-3.285339403,-3.284455431,,
ARI,1987,22,-3.285339403,-3.284455431,,
ARI,1988,1,-3.285339403,-3.284455431,CIN,-5.427776761
ARI,1988,2,-3.820948742,-3.819737426,DAL,-3.957326693
ARI,1988,3,-3.848224332,-3.846799639,TBB,-2.533843427
ARI,1988,4,-3.629160848,-3.627519155,WAS,3.338138323
ARI,1988,5,-2.633832395,-2.632012418,LAR,7.455712546
ARI,1988,6,-1.372639277,-1.370658585,PIT,5.228393638
ARI,1988,7,-0.639191176,-0.637102183,WAS,-5.76773421
ARI,1988,8,-1.152045479,-1.149816868,BAL,-4.60933174
ARI,1988,9,-1.46634423,-1.464048487,DAL,3.489212033
ARI,1988,10,-1.053381208,-1.05097293,SFF,1.838091968
ARI,1988,11,-0.830960195,-0.828447884,NYG,2.517653441
ARI,1988,12,-0.591773506,-0.589159905,TEN,-8.529655826
ARI,1988,13,-1.120965661,-1.118306458,PHI,-4.054302335
ARI,1988,14,-1.304299203,-1.301561202,NYG,-16.95590106
ARI,1988,15,-2.224981665,-2.222158548,PHI,-4.926962224
ARI,1988,16,-2.375091696,-2.372199645,GBP,-10.36536256
ARI,1988,17,-2.795632268,-2.792668824,,
ARI,1988,18,-2.795632268,-2.792668824,,
ARI,1988,19,-2.795632268,-2.792668824,,
ARI,1988,20,-2.795632268,-2.792668824,,
ARI,1988,21,-2.795632268,-2.792668824,,
ARI,1988,22,-2.795632268,-2.792668824,,
ARI,1989,1,-2.795632268,-2.792668824,DET,-1.796629774
ARI,1989,2,-2.545881645,-2.54254028,SEA,6.276238347
ARI,1989,3,-0.781457646,-0.778059277,NYG,-12.31186118
ARI,1989,4,-2.703191569,-2.699561081,SDC,-10.3760269
ARI,1989,5,-3.799310902,-3.795662494,WAS,0.064567149
ARI,1989,6,-3.316326145,-3.312505252,PHI,-7.889300503
ARI,1989,7,-3.824434407,-3.820493261,ATL,1.161674278
ARI,1989,8,-3.325823539,-3.32176,DAL,-0.337841935
ARI,1989,9,-3.054188848,-3.050008567,NYG,-4.014800375
ARI,1989,10,-3.134239808,-3.129954531,DAL,-5.317879416
ARI,1989,11,-3.302212086,-3.297835398,LAR,-10.25140575
ARI,1989,12,-3.798583062,-3.794121855,TBB,-6.055521857
ARI,1989,13,-3.949045648,-3.94449528,WAS,-12.26026724
ARI,1989,14,-4.468496997,-4.463875168,OAK,-1.025496396
ARI,1989,15,-4.26596755,-4.261354512,DEN,-19.48264869
ARI,1989,16,-5.111338725,-5.106732675,PHI,-7.515518748
ARI,1989,17,-5.237874516,-5.233214824,,
ARI,1989,18,-5.237874516,-5.233214824,,
ARI,1989,19,-5.237874516,-5.233214824,,
ARI,1989,20,-5.237874516,-5.233214824,,
ARI,1989,21,-5.237874516,-5.233214824,,
ARI,1989,22,-5.237874516,-5.233214824,,
ARI,1990,1,-5.237874516,-5.233214824,WAS,-15.34522816
ARI,1990,2,-7.764712928,-7.759771837,PHI,1.27897703
ARI,1990,3,-5.955974936,-5.950879607,NOS,-10.89808736
ARI,1990,4,-6.779660341,-6.774398281,WAS,-15.98601347
ARI,1990,5,-8.094853645,-8.089463214,,
ARI,1990,6,-8.094853645,-8.089463214,DAL,-0.664702173
